Expediente,Fecha,Nombre,Link
CFP 9608/2018,28/08/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13908999&tipo=corrupcion-administrativa
CFP 9608/2018,06/12/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13214698&tipo=corrupcion-administrativa
CFP 9608/2018,18/10/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13071936&tipo=corrupcion-administrativa
CFP 9608/2018,13/08/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12870310&tipo=corrupcion-administrativa
CFP 9608/2018,26/06/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12764003&tipo=corrupcion-administrativa
CFP 9608/2018,25/03/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12503942&tipo=corrupcion-administrativa
CFP 9608/2018,22/03/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12531292&tipo=corrupcion-administrativa
CFP 9608/2018,29/02/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12432012&tipo=corrupcion-administrativa
CFP 9608/2018,27/12/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12333401&tipo=corrupcion-administrativa
CFP 9608/2018,19/12/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12308864&tipo=corrupcion-administrativa
CFP 9608/2018,12/12/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12289185&tipo=corrupcion-administrativa
CFP 9608/2018,12/12/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12289135&tipo=corrupcion-administrativa
CFP 9608/2018,12/12/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12288217&tipo=corrupcion-administrativa
CFP 9608/2018,05/12/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12271505&tipo=corrupcion-administrativa
CFP 9608/2018,09/11/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12531455&tipo=corrupcion-administrativa
CFP 9608/2018,03/11/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12187326&tipo=corrupcion-administrativa
CFP 9608/2018,11/10/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12119001&tipo=corrupcion-administrativa
CFP 9608/2018,04/10/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12098526&tipo=corrupcion-administrativa
CFP 9608/2018,28/09/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12531372&tipo=corrupcion-administrativa
CFP 9608/2018,31/08/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=11991501&tipo=corrupcion-administrativa
CFP 9608/2018,23/08/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12531396&tipo=corrupcion-administrativa
CFP 9608/2018,22/08/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=11958214&tipo=corrupcion-administrativa
CFP 9608/2018,22/08/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12531419&tipo=corrupcion-administrativa
CFP 9608/2018,17/08/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=11948549&tipo=corrupcion-administrativa
CFP 9608/2018,10/08/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=11925721&tipo=corrupcion-administrativa
