numero_expediente,fecha,nombre,link
CFP 9608/2018,2023-12-05,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12271505&tipo=corrupcion-administrativa
CFP 9608/2018,2023-11-09,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12531455&tipo=corrupcion-administrativa
CFP 9608/2018,2023-11-03,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12187326&tipo=corrupcion-administrativa
CFP 9608/2018,2023-10-11,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12119001&tipo=corrupcion-administrativa
CFP 9608/2018,2023-10-04,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12098526&tipo=corrupcion-administrativa
CFP 9608/2018,2023-09-28,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12531372&tipo=corrupcion-administrativa
CFP 9608/2018,2023-08-31,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=11991501&tipo=corrupcion-administrativa
CFP 9608/2018,2023-08-23,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12531396&tipo=corrupcion-administrativa
CFP 9608/2018,2023-08-22,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=11958214&tipo=corrupcion-administrativa
CFP 9608/2018,2023-08-22,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12531419&tipo=corrupcion-administrativa
CFP 9608/2018,2023-08-17,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=11948549&tipo=corrupcion-administrativa
CFP 9608/2018,2023-08-10,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=11925721&tipo=corrupcion-administrativa
CFP 9608/2018,2023-03-09,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11475518&tipo=corrupcion-administrativa
CFP 9608/2018,2023-02-13,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11399127&tipo=corrupcion-administrativa
CFP 9608/2018,2023-02-13,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11399131&tipo=corrupcion-administrativa
CFP 9608/2018,2022-12-26,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11331052&tipo=corrupcion-administrativa
CFP 9608/2018,2022-12-19,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11315475&tipo=corrupcion-administrativa
CFP 9608/2018,2022-11-22,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11239839&tipo=corrupcion-administrativa
CFP 9608/2018,2022-08-25,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10974071&tipo=corrupcion-administrativa
CFP 9608/2018,2022-08-05,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10912251&tipo=corrupcion-administrativa
CFP 9608/2018,2022-08-03,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10904114&tipo=corrupcion-administrativa
CFP 9608/2018,2022-06-10,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10773582&tipo=corrupcion-administrativa
CFP 9608/2018,2021-09-30,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10161729&tipo=corrupcion-administrativa
CFP 9608/2018,2021-09-17,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10129676&tipo=corrupcion-administrativa
